"Redirect URL","የማዛወሪያ ዩአርኤል "
"Regular Price:","መደበኛ ዋጋ፦"
"Related Products","ተያያዥ ምርቶች"
"Remove","አስወግድ"
"Remove Product","ምርት አስወግድ"
"Remove Product From Websites","ምርት ከድር ጣቢያዎች አስወግድ"
"Remove This Item","ይህን ንጥል አስወግድ"
"Remove product assignment","የምርት ምደባን አስወግድ"
"Remove product image","የምርት ምስል አስወግድ"
"Remove product link","የምርት አገናኝ አስወግድ"
"Required","አስፈላጊ"
"Reset","ዳግም አስጀምር"
"Results","ውጤቶች"
"Retrieve attribute data","የአይነታ ውሂብ አውጣ"
"Retrieve attribute list","የአይነታ ዝርዝር አውጣ"
"Retrieve attribute options","የአይነታ አማራጮች አውጣ"
"Retrieve categories tree","የምድቦች ዛፍ አውጣ"
"Retrieve category attributes","የምድብ አይነታዎች አውጣ"
"Retrieve category data","የምድብ ውሂብ አውጣ"
"Retrieve hierarchical tree","የምድቦች ተዋረዳዊ ዛፍ አውጣ"
"Retrieve linked products","የተያያዙ ምርቶች አውጣ"
"Retrieve list of assigned products","የተመደቡ ምርቶች ዝርዝር አውጣ"
"Retrieve one level of categories by website/store view/parent category","ባለ አንድ ደረጃ ምድቦችን በድር ጣቢያ/የሱቅ እይታ/ወላጅ ምድብ አውጣ"
"Retrieve product","ምርት አውጣ"
"Retrieve product attribute sets","የምርት አይነታ ስብስቦች አውጣ"
"Retrieve product image","የምርት ምስል አውጣ"
"Retrieve product image list","የምርት ምስል ዝርዝር አውጣ"
"Retrieve product image types","የምርት ምስል አይነቶች አውጣ"
"Retrieve product link type attributes","የምርት አገናኝ አይነት አይነታዎችን አውጣ"
"Retrieve product link types","የምርት አገናኝ አይነቶች አውጣ"
"Retrieve product tier prices","የምርት ድርብ ዋጋዎችን አውጣ"
"Retrieve product types","የምርት አይነቶች አውጣ"
"Retrieve products data","የምርቲች ውሂብ አውጣ"
"Retrieve products list by filters","የምርቶች ዝርዝር በማጣሪያዎች ፈልገህ አውጣ"
"Review successfully deleted","ግምገማ በተሳካ ሁኔታ ተሰርዟል"
"Review was saved successfully","ግምገማ በተሳካ ሁኔታ ተቀምጧል"
"Review was successfully saved","ግምገማ በተሳካ ሁኔታ ተቀምጧል"
"Reviews","ግምገማዎች"
"Roll Over for preview","ለቅድመ እይታ የተመለሰ"
"Root","ስርወ"
"SKU","SKU"
"Save","አስቀምጥ"
"Save And Continue Edit","አስቀምጥ እና አርትኦት ቀጥል"
"Save Attribute","አይነታ አስቀምጥ "
"Save Attribute Set","የአይነታ ስብስብ አስቀምጥ"
"Save Category","ምድብ አስቀምጥ"
"Save Search","ፍለጋ አስቀምጥ"
"Saved ","ተቀምጧል"
"Scope","ሽፋን"
"Search","ፈልግ"
"Search Engine Optimizations","የፍለጋ ፕሮግራም ማመቻቸት"
"Search Information","የፍለጋ መረጃ"
"Search Query","የፍለጋ መጠይቅ"
"Search Term was successfully saved","የፍለጋ ቃል በተሳካ ሁኔታ ተቀምጧል"
"Search Term with such search query already exist.","በዚህ የፍለጋ መጠይቅ የፍለጋ ቃል አስቀድሞ አለ። "
"Search was successfully deleted","ፍለጋ በተሳካ ሁኔታ ተሰርዟል"
"Searchable","ሊፈለግ የሚችል"
"Select Configurable Attributes ","ሊዋቀሩ የሚችሉ አይነታዎች ምረጥ"
"Select type of option","የአማራጭ አይነት ምረጥ"
"Select type options required values rows.","ለአስፈላጊ እሴቶች ረድፎች የአይነት አማራጮችን ይምረጡ"
"Selected Product Types","የተመረጡ የምርት አይነቶች "
"Selected configuration is not available.","የተመረጠው ውቅረት አይገኝም።"
"Send Count","ቆጠራ ላክ"
"Set Ascending Direction","የሽቅብታ አቅጣጫን አቀናብር"
"Set Descending Direction","የተቆልቋይ አቅጣጫን አቀናብር"
"Set Name","ስም አስገባ"
"Set Root Category For Store","ለሱቅ የስረወ ምድብ አቀናብር"
"Set root category for this store in the <a href=""%s"">configuration</a>","ለዚህ ሱቅ ስርወ ምድቡን በ<a href="%s">configuration</a> ውስጥ ያቀናብሩ"
"Set special price","ልዩ ዋጋ ያስገቡ"
"Set/Get current store view","የአሁኑን የሱቅ እይታ ያቀናብሩ/ያግኙ"
"Settings","ቅንብሮች"
"Shop by","የተገዛው በ"
"Shopping Options","የግዢ አማራጮች"
"Show","አሳይ"
"Show Details","ዝርዝሮች አሳይ"
"Show Tags","መለያዎች አሳይ"
"Simple Product","ቀላል ምርት"
"Site Map","የጣቢያ ካርታ"
"Sitemap","የጣቢያ ካርታ"
"Skip import row, is not valid value ""%s"" for field ""%s""","የማስመጣት ረድፍን ዝለል፣ ልክ የሆነ እሴት «%s» ለ«%s» መስክ አይደለም"
"Skip import row, required field ""%s"" for new customer not defined","የማስመጣት ረድፍን ዝለል፣ አስፈላጊ መስክ «%s» ለአዲስ ደንበኛ አልተገለጸም"
"Skip import row, required field ""%s"" for new products not defined","ማስመጣት ረድፍን ዝለል፣ አስፈላጊ መስክ «%s» ለአዲስ ምርቶች አልተገለጸም"
"Skip import row, required field ""%s"" not defined","የማስመጣት ረድፍን ዝለል፣ አስፈላጊ መስክ «%s» አልተገለጸም"
"Skip import row, store ""%s"" field not exists","የማስመጣት ረድፍን ዝለል፣ የሱቅ «%s» መስክ የለም"
"Sort Order","ትእዛዝ ደርድር"
"Sort by","የተደረደረው "
"Source Model","ምንጭ ሞዴል"
"Special Price:","ልዩ ዋጋ፦"
"Starting at:","የሚጀምረው በ፦"
"Static","የማይለዋወጥ"
"Static block and products","የማይለዋወጥ ጥቅል እና ምርቶች"
"Static block only","የማይለዋወጥ ጥቅል ብቻ"
"Status","ሁኔታ"
"Stock Availability","የክምችት ተገኝነት"
"Store","ሱቅ"
"Store View","የሱቅ እይታ"
"Stretch","ለጥጥ"
"Subscribe to Feed","ለምግብ በደንበኝነት ይመዝገቡ"
"Subscribe to RSS Feed","ለRSS ምግብ በደንበኝነት ይመዝገቡ"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","ተመሳሳይ ለ"
"Synonym for","ተመሳሳይ ለ"
"System","ስርዓት"
"System Properties","የስርዓት ባህሪያት"
"Tag Name","የመለያ ስም"
"Tax","ቀረጥ"
"Text","ጽሁፍ"
"Text Area","የጽሁፍ ቦታ"
"Text Field","የጽሁፍ መስክ"
"There are no %s available.","ምንም %s አይገኙም።"
"There are no customers for this alert","ለዚህ ማሳወቂያ ደንበኞች የሉም"
"There are no products matching the selection.","ምርጫው ጋር ተዛማጅ የሆኑ ምርቶች የሉም።"
"There was an error while adding products to websites","ምርቶች ወደ የድር ጣቢያዎች በማከል ጊዜ ስህተት ነበር"
"There was an error while cleared compare list","የንጽጽር ዝርዝር ሲጸዳ ስህተት ነበር"
"There was an error while removing products from websites","ምርቶች ከድር ጣቢያዎች በማስወገድ ጊዜ ስህተት ነበር"
"There was an error while updating product(s) attributes","የምርት(ቶች) አይነታዎች በማዘመን ጊዜ ስህተት ነበር"
"There was an error while updating product(s) status","የምርት(ቶች) ሁኔታ በማዘመን ጊዜ ስህተት ነበር"
"This attribute no longer exists","ይህ አይነታ ከእንግዲህ አይኖርም"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","ይህ ቡድን ሊዋቀሩ በሚችሉ ምርቶች ውስጥ የሚያገለግሉ አይነታዎችን ይዟል። እባክዎ እነዚህን አይነታዎችን ወደሌላ ቡድን ያንቀሳቅሱ እና እንደገና ይሞከሩ። "
"This group contains system attributes. Please move system attributes to another group and try again.","ይህ ቡድን የስርዓት አይነታዎችን ይዟል። እባክዎ የስርዓት አይነታዎችን ወደሌላ ቡድን ያንቀሳቅሱ እና እንደገና ይሞከሩ።"
"This is a required option","ይህ አስፈላጊ አማራጭ ነው"
"This search no longer exists","ይህ ፍለጋ ከእንግዲህ አይኖርም"
"Tier Pricing","ድርብ ዋጋ አወጣጥ"
"Tile","ሰድር"
"Time format","የሰዓት ቅርጸት"
"Title","ርዕስ"
"Top/Left","ላይ/ግራ"
"Top/Right","ላይ/ታች"
"Total Qty Base Items","ጠቅላላ ብዛት ቤዝ ንጥሎች"
"Total incl. Tax: %1$s","ጠቅላላ ድምር ቀረጥ አካቶ፦ %1$s"
"Total of %d record(s) were successfully deleted","በጠቅላላው %d መዝገብ(ቦች)  በተሳካ ሁኔታ ተሰርዟል(ዘዋል)"
"Total of %d record(s) were successfully updated","በጠቅላላው %d መዝገብ(ቦች)  በተሳካ ሁኔታ ዘምኗል(ነዋል)"
"Type","አይነት"
"Unable to complete request. Please try again later.","ጥያቄውን ማጠናቀቅ አልተቻለም። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Unable to find a search term to delete","የሚሰረዘውን የፍለጋ ቃል ለማግኘት አልተቻለም"
"Unable to find an attribute to delete","የሚሰረዘውን አይነት ለማግኘት አልተቻለም"
"Unable to get product id.","የምርት መታወቂያ ማግኘት አልተቻለም።"
"Unassigned Attributes","ያልተመደቡ አይነታዎች"
"Unique Value","ልዩ እሴት"
"Unique Value (not shared with other products)","ልዩ እሴት (ከሌሎች ምርቶች ጋር አልተጋራም)"
"Unknown attribute: %s","ያልታወቀ አይነታ፦ %s"
"Up-sells","ያደጉ-ሽያጮች"
"Update","አዘምን"
"Update Attributes","አይነታዎች አዘምን"
"Update Tier Price","የድርብ ዋጋን አዘምን"
"Update assigned product","የተመደበ ምርት አዘምን"
"Update attributes","አይነታዎች አዘምን"
"Update category","ምድብ አዘምን"
"Update product","ምርት አዘምን"
"Update product image","የምርት ምስል አዘምን"
"Update product link","የምርት አገናኝ አዘምን"
"Update product tier prices","የምርት ድርብ ዋጋዎችን አዘምን"
"Upload new product image ","አዲስ የምርት ምስል ስቀል"
"Url","ዩአርኤል"
"Url Rewrite Management","የዩአርኤል ዳግም ድሁፍ ቅንብር"
"Url rewrie save problem.","የዩአርኤል ዳግም ድሁፍ የማስቀመጥ ችግር።"
"Use Config Settings","የማወቀሪያ ቅንብሮችን ተጠቀም"
"Use Default Value","ነባሪ እሴት ተጠቀም"
"Use Flat Catalog Category","ዝርግ ካታሎግ ምድብ ተጠቀም"
"Use Flat Catalog Product","ዝርግ ካታሎግ ምርት ተጠቀም"
"Use In Layered Navigation","በተደራራቢ አሰሳ ውስጥ ተጠቀም"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","በተደራራቢ አሰሳ ውስጥ ተጠቀም<br/>(ከካታሎግ ግቤት አይነት «ተቆልቋይ ጋር» ብቻ ያገለግላል)"
"Use In Search Results Layered Navigation","በፍለጋ ውጤቶች ተደራራቢ አሰሳ ውስጥ ተጠቀም"
"Use JavaScript Calendar","የጃቫስክሪፕት ቀን መቁጠሪያ ተጠቀም"
"Use To Create Configurable Product","ሊዋቀር የሚችል ምርት ለመፍጠር ተጠቀም"
"Use Tree Like Category Sitemap","ዛፍ መሰል የምድብ የጣቢያ ካርታ ተጠቀም"
"Use categories path for product URLs","ለምርት ዩአርኤሎች የምድቦች ዱካ ተጠቀም"
"Use in advanced search","በላቀ ፍለጋ ውስጥ ተጠቀም"
"Use in quick search","በፈጣን ፍለጋ ውስጥ ተጠቀም"
"Used for sorting in product listing","በምርት ዝርዝር ውስጥ ቅደም ተከተል ለማስያዝ ይጠቅማል"
"Used in product listing","በምርት ዝርዝር ውስጥ ይጠቅማል"
"Values Required","የሚያስፈልጉ እሴቶች"
"Varchar","Varchar"
"View as","አሳይ እንደ"
"Virtual Product","ምናባዊ ምርት"
"Visibility","ታይነት"
"Visible","የሚታይ"
"Visible on Catalog Pages on Front-end","በተጠቃሚ በይነገጽ በካታሎግ ገጾች ላይ የሚታይ"
"Visible on Product View Page on Front-end","በተጠቃሚ በይነገጽ በካታሎግ ገጾች ላይ የሚታይ"
"Watermark","ድብዝዝ ምልክት"
"Watermark Default Size","የድብዝዝ ምልክት ነባሪ መጠን"
"Watermark Position","የድብዝዝ ምልክት አቀማመጥ"
"We Also Recommend","ይህንንም እንመክራለን"
"Web Site Item Must be checked","የድር ጣቢያ ንጥል መመረጥ አለበት"
"Web Site Store Must be checked","የድር ጣቢያ ሱቅ መመረጥ አለበት"
"Website","ድር ጣቢያ"
"Websites","የድር ጣቢያዎች"
"Wrong BuyRequest instance in options group","በአማራጮች ቡድን ውስጥ የተሳሳተ የግዢጥያቄ አብነት"
"Wrong option instance type in options group","በአማራጮች ቡድን ውስጥ የተሳሳተ የአማራጭ አብነት አይነት"
"Wrong option type to get group instance.","የቡድን አብነት ለማግኘት የተሳሳተ የአማራጭ አይነት"
"Wrong product instance type in options group","በአማራጮች ቡድን ውስጥ የተሳሳተ የምርት አብነት አይነት"
"Wrong quote item instance in options group","በአማራጮች ቡድን ውስጥ የተሳሳተ የጥቅስ ንጥል አብነት"
"Wrong quote item option instance in options group","በአማራጮች ቡድን ውስጥ የተሳሳተ የጥቅስ ንጥል አማራጭ አብነት"
"Year Range","የዓመት ክልል"
"Yes","አዎ"
"Yes/No","አዎ/አይ"
"You cannot delete this attribute","ይህን አይነታ መሰረዝ አይችሉም"
"You cannot edit this attribute","ይህን አይነታ ማርተእ አይችሉም"
"You cannot remove system attribute from this set.","ከዚህ ስብስብ የስርዓት አይነታ ማስወገድ አይችሉም።"
"You cannot update this attribute","ይህን አይነታ ማዘመን አይችሉም"
"You have no items to compare.","ምንም የሚያነጻጽሯቸው ንጥሎች የሉዎትም።"
"You may also be interested in the following product(s)","እነዚህን ምርቶችም ሊፈልጓቸው ይችላሉ"
"Zoom In","አሳንስ"
"Zoom Out","አጉላ"
"[GLOBAL]","[ሁሉአቀፍ]"
"and","እና"
"and above","እና ከዛ በላይ"
"cache refresh needed","የሽጉጥ ማደስ ያስፈልጋል"
"categories","ምድቦች"
"comma separated","በኮማ የተለየ"
"each","እያንዳንዱ"
"ex. http://domain.com","ለምሳሌ፦ http://domain.com"
"leave blank if its not an image","ምስል ካልሆነ ባዶ ተወው"
"must be in the allowed values list","በተፈቀደላቸው እሴቶች ዝርዝር ውስጥ መሆን አለበት"
"per page","በገጽ"
"products","ምርቶች"
"px.","ፒክ."
"save","አስቀምጥ"
"select all","ሁሉንም ምረጥ"
"unselect all","ሁሉንም አትምረጥ"
"x","x"
"Description","መግለጫ"
"Short Description","አጭር መግለጫ"
"Tax Class","የቀረጥ መደብ"
"There are no products matching the selection.","ምርጫው ጋር ተዛማጅ የሆኑ ምርቶች የሉም።"
"Availability:","ተገኚነት፦"
"Qty:","ብዛት፦"
"Compare Products","ምርቶችን አነጻጽር"
"You have no items to compare.","ምንም የሚያነጻጽሯቸው ንጥሎች የሉዎትም።"
"Site Map","የጣቢያ ካርታ"
"Go to Home Page","ወደ መነሻ ገጽ ሂድ"
"Home","መነሻ"
"Our customer service is available 24/7. Call us at (555) 555-0123.","የደንበኛ አገልግሎታችን 24/7 ይገኛል። በ(555) 555-0123 ይደውሉልን።"
"Categories","ምድቦች"
"Keep your eyes open for our special Back to School items and save A LOT!","ለእኛ «ወደ ት/ቤት ይመለሱ» ልዩ ንጥሎች አይኖችዎን ይክፈቱና ብዙ ይቆጥቡ!"
"Categories Sitemap","የምድቦች የጣቢያ ካርታ"
"Are you sure you would like to remove all products from your comparison?","እርግጠኛ ነዎት ሁሉንም ምርቶች ከንጽጽሮችዎ ማስወገድ ፈልገዋል?"
"Clear All","ሁሉንም አጽዳ"
"Products Sitemap","የምርቶች የጣቢያ ካርታ"
