"* Required Fields","* አስፈላጊ መስኮች"
"Thank you for registering with %s","ለ%s ስለተመዘገቡ እናመሰግናለን"
"Newsletter Subscription","የዜና መጽሄት ምዝገባ"
"You have not set a default billing address.","ነባሪ የመክፈያ አድራሻ አላስገቡም።"
"You have not set a default shipping address.","ነባሪ የማጓጓዣ አድራሻ አላስገቡም።"
"Login or Create an Account","ይግቡ ወይም መለያ ይፍጠሩ"
"Personal Information","የግል መረጃ"
"Sign Up for Newsletter","ለዜና መጽሄት ይመዝገቡ"
"You are currently not subscribed to any newsletter.","በአሁን ጊዜ ለምንም አይነት የዜና መጽሄት በደንበኝነት አልተመዘገቡም።"
"Default Shipping Address","ነባሪ የማጓጓዣ አድራሻ"
"Login","ይግቡ"
"Invalid login or password.","ልክ ያልሆነ መግቢያ ወይም የይለፍ ቃል።"
"Edit Account Information","የመለያ መረጃ አርትእ"
"Log Out","ዘግተህ ውጣ"
"First Name","የመጀመሪያ ስም"
"Last Name","የአያት ስም"
